,STATE,CONSTITUENCY,NAME,WINNER,PARTY,SYMBOL,GENDER,CRIMINAL CASES,AGE,CATEGORY,EDUCATION,ASSETS,LIABILITIES,GENERAL VOTES,POSTAL VOTES,TOTAL VOTES,OVER TOTAL ELECTORS IN CONSTITUENCY,OVER TOTAL VOTES POLLED IN CONSTITUENCY,TOTAL ELECTORS
1322,Telangana,MAHABUBABAD,Arun Kumar Mypathi,0,TJS,BOX,MALE,1,33,ST,Post Graduate,0,0,56969,104,57073,4.00685208,5.801829203,1424385
1323,Telangana,MAHABUBABAD,Kalluri. Venkateswara Rao.,0,CPI(M),Ears of Corn And Sickle,MALE,0,45,ST,10th Pass,676200,0,45694,25,45719,3.209736132,4.647623733,1424385
1324,Telangana,MAHABUBABAD,Jatothu Hussain,0,BJP,Lotus,MALE,0,37,ST,Graduate,29043582,9000000,25333,154,25487,1.789333642,2.590913758,1424385
1325,Telangana,MAHABUBABAD,Balu Nayak Bhukya,0,IND,Camera,MALE,0,38,ST,Post Graduate,2750000,1025000,14865,1,14866,1.0436785,1.511222346,1424385
1327,Telangana,MAHABUBABAD,Uke Kousalya,0,IND,Scissors,FEMALE,0,49,ST,5th Pass,596000,0,11054,4,11058,0.77633505,1.124115209,1424385
1328,Uttar Pradesh,MAHARAJGANJ,PANKAJ CHOUDHARY,1,BJP,Lotus,MALE,5,54,GENERAL,12th Pass,371827109,4483048,725557,792,726349,37.92137237,59.18634251,1915408
1329,Bihar,MAHARAJGANJ,"Janardan Singh 'Sigriwal""",1,BJP,Lotus,MALE,5,55,GENERAL,Graduate,10451986,376000,543523,2829,546352,30.22246217,56.1519195,1807768
1330,Bihar,MAHARAJGANJ,Randhir Kumar Singh,0,RJD,Hurricane Lamp,MALE,3,36,GENERAL,12th Pass,39112311,6266511,314803,777,315580,17.45688606,32.43407685,1807768
1331,Uttar Pradesh,MAHARAJGANJ,AKHILESH,0,SP,Bicycle,MALE,4,55,GENERAL,Graduate,82263380,0,385592,333,385925,20.14844879,31.4469893,1915408
1332,Uttar Pradesh,MAHARAJGANJ,SUPRIYA SHRINATE,0,INC,Hand,FEMALE,0,41,GENERAL,Post Graduate,85042997,7395000,72449,67,72516,3.785929682,5.908945718,1915408
1333,Bihar,MAHARAJGANJ,Anirudh Prasad alias Sadhu Yadav,0,BSP,Elephant,MALE,5,51,GENERAL,Graduate,79825395,22404267,24913,126,25039,1.385078174,2.573410388,1807768
1335,Bihar,MAHARAJGANJ,M.K. Singh Rathour,0,IND,Cauliflower,MALE,0,47,GENERAL,Graduate Professional,35623127,1547000,20495,2,20497,1.13382912,2.106601411,1807768
1336,Bihar,MAHARAJGANJ,Dr. Shree Bhagwan Singh,0,IND,Whistle,MALE,1,67,GENERAL,Graduate Professional,13459000,950000,13135,2,13137,0.726697231,1.350169426,1807768
1337,Chhattisgarh,MAHASAMUND,CHUNNI LAL SAHU,1,BJP,Lotus,MALE,0,51,GENERAL,Graduate,17591683,1383014,614924,1656,616580,37.64337273,50.42497876,1637951
1338,Chhattisgarh,MAHASAMUND,DHANENDRA SAHU,0,INC,Hand,MALE,0,66,GENERAL,12th Pass,92123717,106791,525229,840,526069,32.11750535,43.02283264,1637951
1340,Chhattisgarh,MAHASAMUND,DEVENDAR SINGH THAKUR (RAJPUT),0,IND,Glass Tumbler,MALE,1,33,GENERAL,12th Pass,3775400,0,15488,3,15491,0.945754788,1.266880771,1637951
1341,Telangana,MAHBUBNAGAR,MANNE SRINIVAS REDDY,1,TRS,Car,MALE,0,60,GENERAL,12th Pass,63353123,4569251,411241,161,411402,27.31567981,41.77658268,1506102
1342,Telangana,MAHBUBNAGAR,ARUNA D.K,0,BJP,Lotus,FEMALE,2,59,GENERAL,10th Pass,788398644,51670191,333121,452,333573,22.14810152,33.87329185,1506102
1343,Telangana,MAHBUBNAGAR,CHALLA VAMSHI CHAND REDDY,0,INC,Hand,MALE,4,38,GENERAL,12th Pass,15759063,1722846,193513,118,193631,12.85643336,19.6626207,1506102
1345,Gujarat,MAHESANA,SHARDABEN ANILBHAI PATEL,1,BJP,Lotus,FEMALE,0,71,GENERAL,12th Pass,440308300,7477793,656686,2839,659525,39.99862936,60.80381533,1648869
1346,Gujarat,MAHESANA,A. J. Patel,0,INC,Hand,MALE,0,73,GENERAL,Graduate Professional,698773712,96220673,376193,1813,378006,22.92516871,34.84963727,1648869
1348,Uttar Pradesh,MAINPURI,MULAYAM SINGH YADAV,1,SP,Bicycle,MALE,1,79,GENERAL,Post Graduate,205604593,22055657,523145,1781,524926,30.46164309,53.65909507,1723236
1349,Uttar Pradesh,MAINPURI,PREM SINGH SHAKYA,0,BJP,Lotus,MALE,0,60,GENERAL,Others,26146972,0,428559,1978,430537,24.98421574,44.01044302,1723236
1350,Kerala,MALAPPURAM,P.K. Kunhalikutty,1,IUML,Ladder,MALE,2,67,GENERAL,Graduate,52932535,0,589153,720,589873,43.03933329,57.00363066,1370544
1351,Kerala,MALAPPURAM,V.P. Sanu,0,CPI(M),"Hammer, Sickle and Star",MALE,9,30,GENERAL,Post Graduate,5438969,0,329103,617,329720,24.05760049,31.86319276,1370544
1352,Kerala,MALAPPURAM,Unnikrishnan,0,BJP,Lotus,MALE,0,54,GENERAL,Graduate Professional,12100000,0,82087,245,82332,6.007249676,7.956327751,1370544
1353,Kerala,MALAPPURAM,Abdul Majeed Faizy,0,SDPI,Auto- Rickshaw,MALE,2,48,GENERAL,10th Pass,1203908,0,19095,11,19106,1.394044992,1.846348904,1370544
1354,West Bengal,MALDAHA DAKSHIN,ABU HASEM KHAN CHOWDHURY (DALU),1,INC,Hand,MALE,0,72,GENERAL,Doctorate,270959520,728107,443540,730,444270,28.19705634,34.70921743,1575590
1355,West Bengal,MALDAHA DAKSHIN,SREERUPA MITRA CHAUDHURY,0,BJP,Lotus,FEMALE,1,54,GENERAL,Post Graduate,10132939,2840000,434003,2045,436048,27.67522008,34.06686214,1575590
1356,West Bengal,MALDAHA DAKSHIN,MD. MOAZZEM HOSSAIN,0,AITC,Flowers and Grass,MALE,0,63,GENERAL,Graduate Professional,13573609,0,350374,979,351353,22.29977342,27.44994637,1575590
1357,West Bengal,MALDAHA UTTAR,KHAGEN MURMU,1,BJP,Lotus,MALE,4,59,ST,Graduate,10232439,1070914,507798,1726,509524,30.22168445,37.5930652,1685955
1358,West Bengal,MALDAHA UTTAR,MAUSAM NOOR,0,AITC,Flowers and Grass,FEMALE,2,39,GENERAL,Graduate Professional,14786683,386896,424517,719,425236,25.22226275,31.37423296,1685955
1359,West Bengal,MALDAHA UTTAR,ISHA KHAN CHOUDHURY,0,INC,Hand,MALE,0,47,GENERAL,Graduate,8613504,354254,304964,306,305270,18.10665172,22.52305095,1685955
1360,West Bengal,MALDAHA UTTAR,BISWANATH GHOSH,0,CPI(M),"Hammer, Sickle and Star",MALE,1,69,GENERAL,Graduate,10978779,0,50315,86,50401,2.989462945,3.718623812,1685955
1361,Telangana,MALKAJGIRI,ANUMULA REVANTH REDDY,1,INC,Hand,MALE,42,51,GENERAL,Graduate,245357182,27807304,602907,841,603748,19.16469887,38.61155274,3150313
